path_idx	node_id	LCA	label	event	count	J_A_B	C_A	C_A_B	C_B	M_A_B	m_1	m_2	m_3	m_4
0	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
0	23	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
0	22	16	A_B=[a1+a1,b1,b1]	C_A_B	2	0	0	3	0	0	2	0	0	1
0	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
1	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
1	23	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
1	17	16	A_B=[a1+a1,b1,b1]	C_A_B	1	0	0	3	0	0	2	0	0	1
1	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
2	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
2	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
2	22	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
2	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
3	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
3	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
3	21	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
3	16	16	A_B=[a1+b1,a1+b1]	C_A_B	1	0	0	1	0	0	0	0	2	0
4	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
4	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
4	14	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
4	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
5	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
5	11	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
5	17	16	A_B=[a1,a1,b1+b1]	C_A_B	1	0	0	3	0	0	0	2	0	1
5	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
6	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
6	11	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
6	14	16	A_B=[a1,a1,b1+b1]	C_A_B	2	0	0	3	0	0	0	2	0	1
6	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
7	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
7	23	16	A=[a1+a1];B=[b1,b1]	J_A_B	1	1	0	0	1	1	2	0	0	1
7	22	16	A_B=[a1+a1,b1,b1]	C_A_B	2	0	0	3	0	0	2	0	0	1
7	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
8	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
8	23	16	A=[a1+a1];B=[b1,b1]	J_A_B	1	1	0	0	1	1	2	0	0	1
8	17	16	A_B=[a1+a1,b1,b1]	C_A_B	1	0	0	3	0	0	2	0	0	1
8	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
9	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
9	25	16	A=[a1+a1];B=[b1,b1]	C_B	1	1	0	0	1	1	2	0	0	1
9	17	16	A=[a1+a1];B=[b1+b1]	J_A_B	1	1	0	0	0	1	0	0	0	2
9	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
10	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
10	25	16	A=[a1+a1];B=[b1,b1]	C_B	1	1	0	0	1	1	2	0	0	1
10	12	16	A=[a1+a1];B=[b1+b1]	M_A_B	1	1	0	0	0	1	0	0	0	2
10	17	16	B=[a1+a1,b1+b1]	J_A_B	1	1	0	0	1	0	0	0	0	2
10	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
11	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
11	8	16	A=[a1+a1];B=[b1,b1]	M_A_B	1	1	0	0	1	1	2	0	0	1
11	23	16	B=[a1+a1,b1,b1]	J_A_B	1	1	0	0	3	0	2	0	0	1
11	22	16	A_B=[a1+a1,b1,b1]	C_A_B	2	0	0	3	0	0	2	0	0	1
11	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
12	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
12	8	16	A=[a1+a1];B=[b1,b1]	M_A_B	1	1	0	0	1	1	2	0	0	1
12	23	16	B=[a1+a1,b1,b1]	J_A_B	1	1	0	0	3	0	2	0	0	1
12	17	16	A_B=[a1+a1,b1,b1]	C_A_B	1	0	0	3	0	0	2	0	0	1
12	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
13	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
13	8	16	A=[a1+a1];B=[b1,b1]	M_A_B	1	1	0	0	1	1	2	0	0	1
13	19	16	B=[a1+a1,b1,b1]	C_B	2	1	0	0	3	0	2	0	0	1
13	22	16	B=[a1+a1+b1,b1]	J_A_B	1	1	0	0	1	0	2	0	0	0
13	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
14	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
14	8	16	A=[a1+a1];B=[b1,b1]	M_A_B	1	1	0	0	1	1	2	0	0	1
14	12	16	B=[a1+a1,b1,b1]	C_B	1	1	0	0	3	0	2	0	0	1
