path_idx	origin	label	A&B	C=A	C=A&B	C=B	M=A>B	a1	a1a1	a1a1b1	a1a1b1b1	a1b1	a1b1b1	b1	b1b1
1	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
1	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
1	16	A&B=[a1+a1,b1,b1]	0	0	3	0	0	0	1	0	0	0	0	2	0
1	16	A&B=[a1+a1+b1,b1]	0	0	1	0	0	0	0	1	0	0	0	1	0
1	16	A&B=[a1+a1+b1,b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
2	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
2	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
2	16	A&B=[a1+a1,b1,b1]	0	0	3	0	0	0	1	0	0	0	0	2	0
2	16	A&B=[a1+a1,b1+b1]	0	0	1	0	0	0	1	0	0	0	0	0	1
2	16	A&B=[a1+a1,b1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
3	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
3	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
3	16	A&B=[a1,a1+b1,b1]	0	0	3	0	0	1	0	0	0	1	0	1	0
3	16	A&B=[a1+a1+b1,b1]	0	0	1	0	0	0	0	1	0	0	0	1	0
3	16	A&B=[a1+a1+b1,b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
4	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
4	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
4	16	A&B=[a1,a1+b1,b1]	0	0	3	0	0	1	0	0	0	1	0	1	0
4	16	A&B=[a1+b1,a1+b1]	0	0	1	0	0	0	0	0	0	2	0	0	0
4	16	A&B=[a1+b1,a1+b1]	0	0	0	0	0	0	0	0	0	0	0	0	0
5	16	A=[a1,a1];B=[b1,b1]	1	1	0	1	2	2	0	0	0	0	0	2	0
5	16	A&B=[a1,a1,b1,b1]	0	0	6	0	0	2	0	0	0	0	0	2	0
