path_idx	origin	label	A&B	C=A	C=A&B	C=B	M=A>B	a1	a1a1	a1a1a2	a1a1a2a2	a1a2	a1a2a2	a2	a2a2
1	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
1	25	A&B=[a1,a1,a2,a2]	0	0	6	0	0	2	0	0	0	0	0	2	0
1	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
1	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
1	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
2	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
2	25	A&B=[a1,a1,a2,a2]	0	0	6	0	0	2	0	0	0	0	0	2	0
2	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
2	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
2	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
3	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
3	25	A&B=[a1,a1,a2,a2]	0	0	6	0	0	2	0	0	0	0	0	2	0
3	25	A&B=[a1,a1+a2,a2]	0	0	3	0	0	1	0	0	0	1	0	1	0
3	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
3	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
4	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
4	25	A&B=[a1,a1,a2,a2]	0	0	6	0	0	2	0	0	0	0	0	2	0
4	25	A&B=[a1,a1+a2,a2]	0	0	3	0	0	1	0	0	0	1	0	1	0
4	25	A&B=[a1+a2,a1+a2]	0	0	1	0	0	0	0	0	0	2	0	0	0
4	25	A&B=[a1+a2,a1+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
5	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
5	25	A&B=[a1,a1,a2,a2]	0	0	6	0	0	2	0	0	0	0	0	2	0
5	25	A&B=[a1,a1+a2,a2]	0	0	3	0	0	1	0	0	0	1	0	1	0
5	25	A&B=[a1,a1+a2+a2]	0	0	1	0	0	1	0	0	0	0	1	0	0
5	25	A&B=[a1,a1+a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
6	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
6	25	A&B=[a1,a1,a2,a2]	0	0	6	0	0	2	0	0	0	0	0	2	0
6	25	A&B=[a1,a1,a2+a2]	0	0	3	0	0	2	0	0	0	0	0	0	1
6	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
6	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
7	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
7	25	A&B=[a1,a1,a2,a2]	0	0	6	0	0	2	0	0	0	0	0	2	0
7	25	A&B=[a1,a1,a2+a2]	0	0	3	0	0	2	0	0	0	0	0	0	1
7	25	A&B=[a1,a1+a2+a2]	0	0	1	0	0	1	0	0	0	0	1	0	0
7	25	A&B=[a1,a1+a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
8	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
8	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
8	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
8	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
8	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
9	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
9	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
9	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
9	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
9	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
10	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
10	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
10	25	A=[a1+a1+a2,a2]	1	1	0	0	2	0	0	1	0	0	0	1	0
10	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
10	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
11	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
11	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
11	25	A=[a1+a1+a2,a2]	1	1	0	0	2	0	0	1	0	0	0	1	0
11	25	A=[a2];B=[a1+a1+a2]	1	0	0	0	1	0	0	1	0	0	0	1	0
11	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
11	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
12	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
12	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
12	25	A=[a1+a1+a2,a2]	1	1	0	0	2	0	0	1	0	0	0	1	0
12	25	A=[a2];B=[a1+a1+a2]	1	0	0	0	1	0	0	1	0	0	0	1	0
12	25	B=[a1+a1+a2,a2]	1	0	0	1	0	0	0	1	0	0	0	1	0
12	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
12	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
13	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
13	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
13	25	A=[a1+a1+a2,a2]	1	1	0	0	2	0	0	1	0	0	0	1	0
13	25	A=[a1+a1+a2];B=[a2]	1	0	0	0	1	0	0	1	0	0	0	1	0
13	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
13	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
14	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
14	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
14	25	A=[a1+a1+a2,a2]	1	1	0	0	2	0	0	1	0	0	0	1	0
14	25	A=[a1+a1+a2];B=[a2]	1	0	0	0	1	0	0	1	0	0	0	1	0
14	25	B=[a1+a1+a2,a2]	1	0	0	1	0	0	0	1	0	0	0	1	0
14	25	A&B=[a1+a1+a2,a2]	0	0	1	0	0	0	0	1	0	0	0	1	0
14	25	A&B=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
15	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
15	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
15	25	A=[a1+a1,a2+a2]	1	1	0	0	2	0	1	0	0	0	0	0	1
15	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
15	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
16	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
16	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
16	25	A=[a1+a1,a2+a2]	1	1	0	0	2	0	1	0	0	0	0	0	1
16	25	A=[a2+a2];B=[a1+a1]	1	0	0	0	1	0	1	0	0	0	0	0	1
16	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
16	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
17	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
17	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
17	25	A=[a1+a1,a2+a2]	1	1	0	0	2	0	1	0	0	0	0	0	1
17	25	A=[a2+a2];B=[a1+a1]	1	0	0	0	1	0	1	0	0	0	0	0	1
17	25	B=[a1+a1,a2+a2]	1	0	0	1	0	0	1	0	0	0	0	0	1
17	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
17	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
18	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
18	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
18	25	A=[a1+a1,a2+a2]	1	1	0	0	2	0	1	0	0	0	0	0	1
18	25	A=[a1+a1];B=[a2+a2]	1	0	0	0	1	0	1	0	0	0	0	0	1
18	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
18	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
19	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
19	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
19	25	A=[a1+a1,a2+a2]	1	1	0	0	2	0	1	0	0	0	0	0	1
19	25	A=[a1+a1];B=[a2+a2]	1	0	0	0	1	0	1	0	0	0	0	0	1
19	25	B=[a1+a1,a2+a2]	1	0	0	1	0	0	1	0	0	0	0	0	1
19	25	A&B=[a1+a1,a2+a2]	0	0	1	0	0	0	1	0	0	0	0	0	1
19	25	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0	0	0
20	25	A=[a1,a1,a2,a2]	1	6	0	0	4	2	0	0	0	0	0	2	0
20	25	A=[a1+a1,a2,a2]	1	3	0	0	3	0	1	0	0	0	0	2	0
20	25	A=[a2,a2];B=[a1+a1]	1	1	0	0	2	0	1	0	0	0	0	2	0
20	25	A&B=[a1+a1,a2,a2]	0	0	3	0	0	0	1	0	0	0	0	2	0
